market,symbol,holder_name,holding_pct,rank
hk,0014.HK,"Wellington Management Company, LLP",0.607,6
hk,0014.HK,BlackRock Advisors (UK) Limited,0.5036,7
hk,0014.HK,Hermes Investment Management Ltd.,0.4352,8
hk,0014.HK,JPMorgan Asset Management U.K. Limited,0.3403,9
hk,0014.HK,BlackRock Asset Management Deutschland AG,0.2988,10
hk,0014.HK,China Merchants Fund Management Co. Ltd.,0.298,11
hk,0014.HK,Legal & General Investment Management Ltd.,0.2625,12
hk,0014.HK,Northern Trust Global Investments Limited,0.2586,13
hk,0014.HK,Mellon Investments Corporation,0.208,14
hk,0014.HK,JP Morgan Asset Management,0.2052,15
hk,0014.HK,"Charles Schwab Investment Management, Inc.",0.1887,16
hk,0014.HK,Robeco Institutional Asset Management B.V.,0.1742,17
hk,0014.HK,KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.,0.1611,18
hk,0014.HK,Northern Trust Fund Managers (Ireland) Limited,0.1599,19
hk,0014.HK,State Street Investment Management (US),0.1485,20
hk,0016.HK,HSBC Trustee (C.I.) Ltd.,31.0388,1
hk,0016.HK,Thriving Talent Ltd.,6.748,2
hk,0016.HK,Rosy Result Ltd.,6.5536,3
hk,0016.HK,Asporto Ltd.,6.4656,4
hk,0016.HK,"Vanguard Capital Management, LLC",1.5151,5
hk,0016.HK,"BlackRock Institutional Trust Company, N.A.",1.1908,6
hk,0016.HK,Norges Bank Investment Management (NBIM),1.0835,7
hk,0016.HK,Aviva Investors Global Services Limited,1.0682,8
hk,0016.HK,SHK Company Limited,0.9464,9
hk,0016.HK,Fortress Gold Ltd.,0.8219,10
hk,0016.HK,HKS Ltd.,0.8181,11
hk,0016.HK,"Geode Capital Management, L.L.C.",0.7335,12
hk,0016.HK,Grand Income Limited,0.7302,13
hk,0016.HK,Joyful Resources Limited,0.7302,14
hk,0016.HK,Hang Seng Investment Management Ltd.,0.6018,15
hk,0016.HK,APG Asset Management N.V.,0.4714,16
hk,0016.HK,BlackRock Advisors (UK) Limited,0.4706,17
hk,0016.HK,"Wellington Management Company, LLP",0.4302,18
hk,0016.HK,Legal & General Investment Management Ltd.,0.2882,19
hk,0016.HK,Capital Research Global Investors,0.2855,20
hk,0017.HK,"Chow Tai Fook Enterprises, Ltd.",45.2362,1
hk,0017.HK,"Vanguard Capital Management, LLC",1.765,2
hk,0017.HK,"BlackRock Institutional Trust Company, N.A.",0.8279,3
hk,0017.HK,"American Century Investment Management, Inc.",0.6915,4
hk,0017.HK,"Dimensional Fund Advisors, L.P.",0.5903,5
hk,0017.HK,"Charles Schwab Investment Management, Inc.",0.5041,6
hk,0017.HK,BlackRock Investment Management (UK) Ltd.,0.2321,7
hk,0017.HK,Cheng (Kar Shun Henry),0.2054,8
hk,0017.HK,Lion Global Investors Limited,0.1216,9
hk,0017.HK,Inspire Investing,0.115,10
hk,0017.HK,BlackRock Advisors (UK) Limited,0.1063,11
hk,0017.HK,Vanguard Global Advisers LLC,0.1042,12
hk,0017.HK,HSBC Global Asset Management (UK) Limited,0.1028,13
hk,0017.HK,Cheng (Chi-Kong),0.1017,14
hk,0017.HK,California Public Employees' Retirement System,0.0957,15
